mechanic_id,id,representation,kind,unit,role,domain,rounding,cap,source_refs
"combat.split-damage-defense","damage.attack_component","Fixed","typed_attack","damage_point","input","non-negative, paired with exactly one damage kind","calculate in the pinned Numeric profile; round only at the declared stage","","community.damage-function;paramdex.ds1r-defs"
"combat.split-damage-defense","damage.defense_component","Fixed","typed_defense","defense_point","input","positive, nominally paired to the attack kind","no implicit cross-kind conversion","","community.damage-function;paramdex.ds1r-defs"
"combat.split-damage-defense","damage.final","Int","health_damage","hp","output","integer >= 0 after declared final rounding","explicit final integer rounding; exact branch-point cases avoid ambiguity here","target current health for resource application, not for the damage fact","community.damage-function;paramdex.ds1r-defs"
"combat.split-damage-defense","damage.motion_value","Fixed","attack_multiplier","percent","parameter","non-negative; sampled one-handed light attack value 100","divide by 100 before defense","","community.damage-function;paramdex.ds1r-defs"
"combat.split-damage-defense","damage.post_defense_component","Fixed","typed_damage","damage_point","derived","non-negative and same nominal kind as its attack/defense pair","retain profile precision until component sum","","community.damage-function;paramdex.ds1r-defs"
"economy.longsword-purchase-reinforcement","economy.longsword_price","Int","soul_currency","soul","constant","integer >= 0; sampled Andre quote 1000","exact integer","","community.longsword;paramdex.ds1r-defs"
"economy.longsword-purchase-reinforcement","economy.player_souls","Int","soul_currency","soul","state","integer >= 0","exact integer","","community.longsword;paramdex.ds1r-defs"
"economy.longsword-purchase-reinforcement","economy.titanite_shards","Int","upgrade_material","item_count","state","integer >= 0","exact integer","","community.longsword;paramdex.ds1r-defs"
"economy.longsword-purchase-reinforcement","economy.upgrade_shard_cost","Int","upgrade_material","item_count","parameter","positive integer selected by from/to reinforcement state","exact table lookup","inventory count","community.longsword;paramdex.ds1r-defs"
"effect.poison-buildup-lifecycle","poison.buildup","Int","poison_buildup","buildup_point","state","integer >= 0 before activation","exact integer accumulation","activation threshold","community.poison;paramdex.ds1r-defs"
"effect.poison-buildup-lifecycle","poison.buildup_per_tick","Int","poison_buildup","buildup_point","parameter","non-negative; sampled Poison Mist value 20","exact integer","","community.poison;paramdex.ds1r-defs"
"effect.poison-buildup-lifecycle","poison.damage_interval","Fixed","effect_interval","s","parameter","positive; sampled value 0.8","exact fixed logical time","poison.duration","community.poison;paramdex.ds1r-defs"
"effect.poison-buildup-lifecycle","poison.damage_per_tick","Int","health_damage","hp","parameter","non-negative; sampled value 3","exact integer","","community.poison;paramdex.ds1r-defs"
"effect.poison-buildup-lifecycle","poison.duration","Int","effect_duration","s","parameter","non-negative; sampled value 180","exact logical seconds","180 for the sampled Poison Mist effect","community.poison;paramdex.ds1r-defs"
"effect.poison-buildup-lifecycle","poison.exposure_interval","Fixed","effect_interval","s","parameter","positive; sampled value 0.2","exact fixed logical time","","community.poison;paramdex.ds1r-defs"
"effect.poison-buildup-lifecycle","poison.resistance_threshold","Int","poison_resistance","buildup_point","input","positive integer supplied by the target; 100 is a scenario boundary value","exact integer comparison","","community.poison;paramdex.ds1r-defs"
"resource.stamina-equip-action","stamina.action_cost","Int","stamina","stamina_point","input","integer >= 0; the value 20 is a scenario probe, not a Longsword historical claim","exact integer","current stamina capacity","official.web-manual-actions;paramdex.ds1r-defs"
"resource.stamina-equip-action","stamina.capacity","Int","stamina","stamina_point","derived","integer >= 0; sampled Endurance 40 value 160","exact integer table value","160 from Endurance alone in the sampled no-ring model","community.endurance-stamina;paramdex.ds1r-defs"
"resource.stamina-equip-action","stamina.current","Int","stamina","stamina_point","state","integer 0..capacity","exact integer","stamina.capacity","community.endurance-stamina;official.web-manual-actions;paramdex.ds1r-defs"
"resource.stamina-equip-action","stamina.endurance","Int","attribute_level","","input","integer 0..99","","99","community.endurance-stamina;paramdex.ds1r-defs"
"resource.stamina-equip-action","stamina.equip_burden_capacity","Fixed","equipment_weight_capacity","weight_unit","derived","non-negative fixed decimal; sampled Endurance 40 value 80.0","one decimal place in the research record","","community.endurance-stamina;official.web-manual-equipment;paramdex.ds1r-defs"
"resource.stamina-equip-action","stamina.regeneration_rate","Fixed","stamina_rate","stamina_point/s","parameter","non-negative; sampled unmodified below-50%-burden value 45","runtime tick integration must be declared","stamina.capacity","community.endurance-stamina;paramdex.ds1r-defs"
"spatial.lock-on-target-query","target.candidate_distance","Fixed","distance","m","input","non-negative finite distance","exact comparison under the selected spatial Numeric profile","","official.web-manual-actions;paramdex.ds1r-defs"
"spatial.lock-on-target-query","target.lock_radius","Fixed","distance","m","parameter","non-negative; sampled PARAMDEF default 15","exact comparison under the selected spatial Numeric profile","15 in this sampled lock-camera definition","paramdex.ds1r-defs"
"spatial.lock-on-target-query","target.result_count","Int","entity_count","entity","output","integer >= 0","exact count","query cardinality","official.web-manual-actions;paramdex.ds1r-defs"
"stat.longsword-scaling-upgrade","longsword.base_physical_attack","Int","physical_attack","damage_point","derived","integer >= 0; selected from the exact upgrade state","exact integer table lookup","","community.longsword;paramdex.ds1r-defs"
"stat.longsword-scaling-upgrade","longsword.dexterity","Int","attribute_level","","input","integer 0..99","","99","community.longsword;official.web-manual-equipment;paramdex.ds1r-defs"
"stat.longsword-scaling-upgrade","longsword.strength","Int","attribute_level","","input","integer 0..99","","99","community.longsword;official.web-manual-equipment;paramdex.ds1r-defs"
"stat.longsword-scaling-upgrade","longsword.upgrade_level","Int","weapon_reinforcement_level","","state","integer 0..15 for the sampled normal path","","15","community.longsword;paramdex.ds1r-defs"
"stat.longsword-scaling-upgrade","longsword.weapon_weight","Fixed","equipment_weight","weight_unit","constant","non-negative fixed decimal; sampled value 3.0","one decimal place in the research record","","community.longsword;paramdex.ds1r-defs"
